Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
413,San Antonio Spurs,2013,62.0,20.0,,,167000000.0,0
414,Los Angeles Clippers,2013,57.0,25.0,73049774.0,92698411.0,128000000.0,0
415,Oklahoma City Thunder,2013,59.0,23.0,,,144000000.0,0
416,Miami Heat,2013,54.0,28.0,,,188000000.0,1
417,Golden State Warriors,2013,51.0,31.0,,,160000000.0,0
418,Indiana Pacers,2013,56.0,26.0,,,121000000.0,0
419,Houston Rockets,2013,54.0,28.0,,,191000000.0,0
420,Portland Trail Blazers,2013,54.0,28.0,,,140000000.0,0
421,Toronto Raptors,2013,48.0,34.0,,,149000000.0,0
422,Phoenix Suns,2013,48.0,34.0,,,137000000.0,0
423,Minnesota Timberwolves,2013,40.0,42.0,,,116000000.0,0
424,Dallas Mavericks,2013,49.0,33.0,,,162000000.0,0
425,Chicago Bulls,2013,48.0,34.0,,,195000000.0,0
426,Memphis Grizzlies,2013,50.0,32.0,,,126000000.0,0
427,Washington Wizards,2013,44.0,38.0,,,122000000.0,0
428,Charlotte Bobcats,2013,43.0,39.0,,,,0
